rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
ID,45905,5113368,12247730.8,1306952539.8398576,575371569.910479,482904561.66026807,490657593.60051644,39.42808423420509,2.7064406584738827,1.1914809169172087
DE,38977,3363045,11808552.5,1563474943.979874,557935586.0501527,434203195.65995187,432373652.609921,36.77023036142253,3.600790965169027,1.284964255507466
NM,44895,3256903,10220412.7,1430405188.0302055,473440744.87979263,366545213.83000225,371407302.96005267,35.86403255809839,3.9023976689915374,1.291629864520252
NH,52263,3393536,7610745.6,1717333143.200407,458125177.4700923,354379331.02011734,349740008.82999086,46.56302413000342,4.84603077232774,1.2927536607491523
WV,50858,3218127,8874011.9,1269390448.0000796,451164394.60011584,347025107.68996257,355865093.15998966,39.10577443444296,3.657921054905837,1.3000915052036894
MT,34771,2240434,5805556.3,871121259.6799529,328167710.1298166,250746025.27998528,252266744.679973,43.19069738071187,3.474117919545289,1.3087653523655323
SD,34689,2315171,5989636.3,844800213.5601672,304805484.9898636,235676478.62994102,238843598.8100085,39.34737717379284,3.5845758493645508,1.2933216193732633
RI,34322,2372307,6098967.5,949712400.8800304,302422413.6398694,235477306.49988842,233591064.51988888,38.60937224208662,4.033137693803544,1.2842953664412358
ME,39600,2160790,6133944.6,785516256.0200765,294085355.83004403,227567430.34005412,232214215.27994648,37.09968791372099,3.4517956055762427,1.2922998488430095
DC,25940,1617305,4430232.4,797338182.1605217,290874324.4598748,226339395.66026306,207781071.03025207,51.089734177435716,3.522754754357176,1.2851245962345816
HI,26002,2471533,5866257.7,791803304.3802495,285311192.1401639,222361828.44000882,217369520.91005215,37.90522677515664,3.5608778266269328,1.283094288897423
AK,21801,1242593,4672599.5,1181049706.8889742,260426151.44995457,200991522.77007434,168281423.1999713,43.01492622470091,5.876117015343201,1.295707141578657
ND,27573,2003271,5284027.9,758698343.6399863,241846729.30000246,187953107.02005926,189358589.28000298,35.57004440117722,4.0366363486559145,1.286739725319845
WY,18706,1169140,4163761.7,609430475.1599863,174785640.32002538,133801730.7600307,133235718.16001415,32.1348195214992,4.554727892518678,1.3063032841742388
VT,18048,1130671,2681616.2,399718170.02007693,147502504.19998646,113277020.66999038,112814282.38001196,42.24207053566814,3.5286783467281926,1.302139686651056
PR,16774,706688,2145165.3,124048634.72997594,70005473.18002126,55237463.42000261,56982043.600020796,25.749746847015757,2.2457337294213153,1.2673549588569784
GU,1880,113343,534855.4,48388121.660032086,22246442.34998693,16650234.779993255,16493244.540016763,31.130348090331058,2.9061525137275988,1.336103823395813
AE,335,103117,865735.0,24439992.07000086,13520260.430006964,12672728.799995752,12689346.490003264,14.638115358621,1.9285500743935318,1.0668783845521492
VI,1415,112607,332450.2,45917724.940009326,14302162.930016873,10677545.269991757,9784268.530001875,32.117728519915936,4.300400867328261,1.3394616991427575
XX,275,18521,112225.0,8723242.249939172,3933067.3999943724,3087659.170004925,3071557.340008852,27.513113566539765,2.825195971978104,1.2738023154246323
AP,462,20693,40181.0,7628945.560001013,1939311.3899949363,1509452.120004004,1495590.7999993737,37.566315422811876,5.054115635003233,1.2847783406271887
ZZ,395,16391,23791.0,9381768.959989661,1917141.7100002444,1467023.1100023172,1497535.6000010506,61.662944390833395,6.3951064547134795,1.3068244780392153
MP,127,6347,15012.2,2755967.8400010313,1245378.7999997702,853215.0799974772,874660.420001,56.83477971233245,3.2300974333566397,1.4596305541194285
AA,224,15835,23914.0,5220211.62000507,831473.1300021023,624739.2999992599,626146.2000003045,26.1244166596663,8.355823973313756,1.33091215808432
FM,5,109,497.0,97566.999998349,43599.679999894,34067.279999826,33015.939999932,68.54583500971026,2.8639503945970244,1.2798110092768393
AS,3,86,86.0,115558.0,7770.930000006,5989.199999978,6454.530000002,69.64186046486047,19.29439658058246,1.2974904828749323
