rndrng_npi,rndrng_prvdr_type,rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
1093943086,Ophthalmology,UT,21,2757,43453.0,5924587.0000349805,3339986.070007682,2618620.580013727,2637948.720000538,60.26328630966163,2.2624839372506282,1.2754753764251612
1508028366,Hematology-Oncology,SC,83,7906,267706.0,8150065.98,3284689.6399864242,2618451.1900081476,2669844.809993848,9.781070241265223,3.1125521877589937,1.25443989657726
1720621071,Nurse Practitioner,TX,22,1348,147858.0,12300092.150009714,3294087.019999835,2618242.800045383,2630362.9200503277,17.707819665120475,4.697842442189285,1.2581289328639564
1699945543,Ophthalmology,NY,19,4381,51185.0,4660100.950006905,3328290.969998596,2618110.870015569,2565054.4799801502,51.14996327079357,1.7799479018927846,1.2712566943273886
1164094108,Independent Diagnostic Testing Facility (IDTF),HI,58,4877,102508.9,8540192.579975106,3298375.2700510216,2617340.120026868,2607699.540014365,25.53280856615248,3.2629280828383274,1.2602012420216762
1275574287,Ophthalmology,KY,15,2483,17529.0,5451502.179994773,3322718.940001234,2616436.580008838,2651116.100008775,149.26331108499275,2.083559839228497,1.269940561674157
1659510337,Hematology-Oncology,FL,54,4978,253055.0,9036568.0,3295707.549996219,2616045.1900014984,2637343.7300038794,10.337852206048087,3.454285894807048,1.2598052826428168
1255331187,Ambulance Service Provider,FL,4,8107,40537.3,5441266.829999212,3288275.6400073115,2615864.650001892,2623119.0100077256,64.5298194502814,2.080102588639392,1.257051139861129
1205063294,Clinical Laboratory,NJ,58,14216,43261.0,13672561.079958798,3164236.1700105933,2615335.3800026802,2337574.960010509,60.45480640768083,5.22784235800182,1.2098777824843827
1285745612,Internal Medicine,KY,64,147712,212916.0,13194301.009989357,2659157.129976165,2615065.549973243,2629424.9900005497,12.282146715010816,5.045495326158979,1.0168606022144926
1174588206,Ambulatory Surgical Center,SC,41,1898,5581.0,15871318.670021556,3264721.2400072236,2613982.769976675,2778224.2400139505,468.3717559535343,6.071699803194639,1.2489452025104033
1821119660,Micrographic Dermatologic Surgery,SC,33,5247,13163.0,13275353.0000192,3321038.0499899783,2613518.479988458,2704687.119994556,198.55036693675135,5.079494597672723,1.2707153499846862
1356343917,Ophthalmology,AL,22,3314,26577.0,7932330.8298840085,3319368.6500004716,2611030.2199966596,2662108.5700015295,98.24397862801142,3.0380080510497334,1.2712869520157137
1336293406,Ophthalmology,CA,23,4962,37262.0,9324719.99999508,3353594.809999705,2609812.980024892,2525877.239997994,70.0395303533061,3.572945675174833,1.28499430252957
1710934617,Ambulance Service Provider,VA,7,8211,165467.2,7794965.4999458715,3301155.019999818,2609314.7400029483,1749132.269996157,15.769377495980763,2.9873611567215783,1.2651425178382611
1275865123,Nuclear Medicine,VA,17,1958,4085.0,7557350.830057381,3278183.5100363786,2608720.979960834,2634323.809986887,638.6097870161161,2.8969563583495397,1.256624811629182
1366970337,Radiation Oncology,AZ,32,1532,18080.0,8464593.000003317,3274978.079956072,2608124.229971661,2651485.959979818,144.25465873737065,3.2454715548941815,1.2556833153578948
1093948176,Ophthalmology,CA,18,3845,26659.0,6075435.7799996,3317181.1599880885,2607076.269995725,2566694.699994684,97.79347574911755,2.3303636529243397,1.2723759554581533
1306812979,Ophthalmology,CA,18,4769,34604.0,7784240.179972339,3329922.420002962,2606986.989979212,2537284.399999042,75.33773523232031,2.9859144713393486,1.277306880626019
1548771736,Clinical Laboratory,CA,35,4472,45889.0,3965821.429966655,2606937.150000013,2606937.150000013,2606954.750000012,56.80963084835174,1.5212570160990015,1.0
1780076885,Ambulatory Surgical Center,SC,16,1345,2493.0,12562147.759964598,3289315.44000851,2606628.92999214,2816197.57000873,1045.579193739326,4.819308040136913,1.2619039872385782
1558380303,Ophthalmology,LA,15,3755,18035.0,5622129.460053546,3345915.659974835,2605499.999983973,2654492.1999906,144.46908788378002,2.157792922697421,1.284174116290699
1073870275,Ophthalmology,NC,20,3076,36541.0,5593491.31999993,3326898.989970375,2605196.920012652,2652339.3400077526,71.29517309358397,2.1470512562915074,1.2770239993812897
1831868512,Ophthalmology,MI,16,2310,12317.0,14232615.280003361,3308146.139982392,2604277.6100117685,2625285.1300044227,211.43765608604113,5.465091442359344,1.2702740012296319
1336346501,Hematology-Oncology,ME,59,2771,135261.0,6508588.800008846,3266250.1300130757,2602790.1400037585,2623487.260005853,19.242724362556526,2.500619892466416,1.2549033745795422
1659344000,Rheumatology,FL,42,4952,147822.0,6830995.0000172,3291108.40998711,2602598.659992954,2610092.1699967277,17.60630122710391,2.624682439525921,1.2645470316180136
1134138530,Pathology,GA,7,20816,44633.0,11834572.599945523,3334420.5700165397,2601769.7800009768,2659557.9999919604,58.292514059126134,4.54866248770907,1.2815970865859192
1952995888,Ambulance Service Provider,TX,4,7825,51008.7,15714094.670057124,3289597.449988671,2601175.049975327,2505559.3099982655,50.99473325090283,6.04115231314639,1.264658235907604
1699717181,Interventional Pain Management,CO,1,9700,221168.0,2654016.0,2600935.68,2600935.68,2600935.68,11.760000000000002,1.0204081632653061,1.0
1487776050,Ambulance Service Provider,NV,4,7568,35602.6,8163346.479908412,3265390.449988053,2600320.270006997,2568873.429970417,73.03737002373414,3.139361937091867,1.2557647177742712
1093918617,Medical Oncology,TX,77,4821,210587.0,14605078.9998857,3267529.0999924946,2599970.870016574,2675910.15001664,12.346302810793516,5.617401013340045,1.2567560420289114
1013127026,Ambulance Service Provider,SC,5,3929,108889.0,7045255.0000331355,3277418.0699454527,2597599.7099739625,3126121.7899784725,23.855483198247413,2.7122173493404627,1.2617102078357965
1043244437,Ophthalmology,CA,16,3761,26737.0,6324622.94000359,3323100.709984181,2596439.300007701,2472858.640003065,97.11034521478479,2.4358832266885004,1.2798684375075993
1699936252,Hematology-Oncology,AR,84,4980,196218.0,10348395.999999795,3261678.3599992734,2594600.9000107152,2638628.420007282,13.223052421341137,3.9884345989231167,1.2571021462244167
1679543870,Ophthalmology,NC,19,3584,31389.0,10379098.99999547,3293372.9499932,2593929.8800057587,2616939.2500091307,82.63818152874443,4.001302841683765,1.2696460977526072
1134765308,Clinical Laboratory,TX,1,5189,10279.0,5139500.0,2593391.7,2593391.7,2593391.7,252.3,1.9817677368212445,1.0
1477516979,Ambulatory Surgical Center,VA,18,1569,2362.0,22881742.9999389,3266882.44994957,2593284.26998905,2588598.65000001,1097.9188272603938,8.823461147217586,1.2597471429398537
1023632890,Ambulance Service Provider,OH,6,11181,105876.1,21061388.999924988,3263784.93998236,2593114.5000097626,2339788.6099861166,24.491972220451665,8.122043588837167,1.258635104608791
1942455449,Ambulatory Surgical Center,TX,13,2371,3420.0,20852704.829923797,3264003.6200459297,2592863.13999656,2608645.0400008303,758.1471169580584,8.042346897627409,1.2588414597348399
1386960854,Diagnostic Radiology,CA,67,4774,5914.0,8884877.179986289,3265418.0899871807,2592406.7599911964,2224820.8899884615,438.3508217773413,3.4272697159671273,1.2596086927339558
1083727333,Rheumatology,AZ,29,2825,237390.0,5509604.99999956,3295292.869994606,2591536.2899812884,2601569.14999574,10.916787943810979,2.12599955528284,1.2715596083813276
1992774459,Medical Oncology,IL,74,3770,126715.0,9176893.049907584,3258936.279992079,2591113.3599882904,2626676.4200025187,20.44835544322527,3.541679492536388,1.257735894660667
1609844687,Ophthalmology,CA,17,3623,23740.0,14015155.0000064,3316603.720002591,2590978.99000286,2482364.68000943,109.13980581309436,5.4092121372203525,1.2800581296874702
1467479089,Ophthalmology,GA,16,2464,47045.0,5847064.1599698,3298379.689997352,2589859.4499895032,2621361.049981009,55.050684450834375,2.25767624571036,1.273574784149279
1952304743,Neurology,TX,29,2069,103430.0,7724808.96007804,3265853.2400055556,2589430.53999145,2735313.849983947,25.035584839905734,2.9832076361096544,1.261224500741518
1982942298,Ambulatory Surgical Center,CA,17,1224,2185.0,14011456.0000317,3256941.160015738,2589189.2099992577,2010162.90000014,1184.98362013696,5.411522628752079,1.2579000203761361
1184610800,General Practice,AZ,35,10935,211994.0,4435291.0100044,2633838.310001442,2588757.799999364,2603891.739999959,12.211467305675463,1.7132892887876532,1.0174139542919345
1912929233,Rheumatology,VA,34,3389,310394.0,7302554.000073019,3286197.3799868543,2588747.069996733,2584006.2499922663,8.340196878795123,2.8208835404233734,1.2694161658639758
1134431323,Ambulatory Surgical Center,MD,25,983,1136.0,27640135.1900108,3254765.8699941896,2588129.230000392,2560974.630005514,2278.282772887669,10.679580783532442,1.257574711597263
